Dates,Vaccinations
19/08/2020,0
20/08/2020,0
21/08/2020,0
22/08/2020,0
23/08/2020,0
24/08/2020,0
25/08/2020,0
26/08/2020,0
27/08/2020,0
28/08/2020,0
29/08/2020,0
30/08/2020,0
31/08/2020,0
01/09/2020,0
02/09/2020,0
03/09/2020,0
04/09/2020,0
05/09/2020,0
06/09/2020,0
07/09/2020,0
08/09/2020,0
09/09/2020,0
10/09/2020,0
11/09/2020,0
12/09/2020,0
13/09/2020,0
14/09/2020,0
15/09/2020,0
16/09/2020,0
17/09/2020,0
18/09/2020,0
19/09/2020,0
20/09/2020,0
21/09/2020,0
22/09/2020,0
23/09/2020,0
24/09/2020,0
25/09/2020,0
26/09/2020,0
27/09/2020,0
28/09/2020,0
29/09/2020,0
30/09/2020,0
01/10/2020,0
02/10/2020,0
03/10/2020,0
04/10/2020,0
05/10/2020,0
06/10/2020,0
07/10/2020,0
08/10/2020,0
09/10/2020,0
10/10/2020,0
11/10/2020,0
12/10/2020,0
13/10/2020,0
14/10/2020,0
15/10/2020,0
16/10/2020,0
17/10/2020,0
18/10/2020,0
19/10/2020,0
20/10/2020,0
21/10/2020,0
22/10/2020,0
23/10/2020,0
24/10/2020,0
25/10/2020,0
26/10/2020,0
27/10/2020,0
28/10/2020,0
29/10/2020,0
30/10/2020,0
31/10/2020,0
01/11/2020,0
02/11/2020,0
03/11/2020,0
04/11/2020,0
05/11/2020,0
06/11/2020,0
07/11/2020,0
08/11/2020,0
09/11/2020,0
10/11/2020,0
11/11/2020,0
12/11/2020,0
13/11/2020,0
14/11/2020,0
15/11/2020,0
16/11/2020,0
17/11/2020,0
18/11/2020,0
19/11/2020,0
20/11/2020,0
21/11/2020,0
22/11/2020,0
23/11/2020,0
24/11/2020,0
25/11/2020,0
26/11/2020,0
27/11/2020,0
28/11/2020,0
29/11/2020,0
30/11/2020,0
01/12/2020,0
02/12/2020,0
03/12/2020,0
04/12/2020,0
05/12/2020,0
06/12/2020,0
07/12/2020,0
08/12/2020,0
09/12/2020,0
10/12/2020,0
11/12/2020,0
12/12/2020,0
13/12/2020,0
14/12/2020,0
15/12/2020,0
16/12/2020,0
17/12/2020,0
18/12/2020,0
19/12/2020,0
20/12/2020,0
21/12/2020,0
22/12/2020,0
23/12/2020,0
24/12/2020,0
25/12/2020,0
26/12/2020,0
27/12/2020,0
28/12/2020,0
29/12/2020,0
30/12/2020,0
31/12/2020,0
01/01/2021,0
02/01/2021,0
03/01/2021,0
04/01/2021,0
05/01/2021,0
06/01/2021,0
07/01/2021,0
08/01/2021,534
09/01/2021,1068
10/01/2021,1602
11/01/2021,2136
12/01/2021,2702
13/01/2021,3290
14/01/2021,3894
15/01/2021,4522
16/01/2021,5173
17/01/2021,5848
18/01/2021,6551
19/01/2021,7258
20/01/2021,7969
21/01/2021,8684
22/01/2021,9404
23/01/2021,10128
24/01/2021,10856
25/01/2021,11568
26/01/2021,12263
27/01/2021,12942
28/01/2021,13605
29/01/2021,14251
30/01/2021,14881
31/01/2021,15495
01/02/2021,16086
02/02/2021,16655
03/02/2021,17201
04/02/2021,17725
05/02/2021,18226
06/02/2021,18705
07/02/2021,19161
08/02/2021,19691
09/02/2021,20294
10/02/2021,20970
11/02/2021,21719
12/02/2021,22541
13/02/2021,23436
14/02/2021,24404
15/02/2021,25397
16/02/2021,26414
17/02/2021,27456
18/02/2021,28522
19/02/2021,29613
20/02/2021,30728
21/02/2021,31868
22/02/2021,33162
23/02/2021,34611
24/02/2021,36215
25/02/2021,38103
26/02/2021,40274
27/02/2021,42729
28/02/2021,45290
01/03/2021,47802
02/03/2021,50265
03/03/2021,52679
04/03/2021,54915
05/03/2021,56973
06/03/2021,58853
07/03/2021,60733
08/03/2021,62613
09/03/2021,64476
10/03/2021,66323
11/03/2021,68153
12/03/2021,69967
13/03/2021,71765
14/03/2021,73546
15/03/2021,75311
16/03/2021,77076
17/03/2021,78841
18/03/2021,80606
19/03/2021,82371
20/03/2021,84136
21/03/2021,85901
22/03/2021,87630
23/03/2021,89323
24/03/2021,90980
25/03/2021,92601
26/03/2021,94186
27/03/2021,95735
28/03/2021,97248
29/03/2021,98761
30/03/2021,100274
31/03/2021,101787
01/04/2021,103300
02/04/2021,104813
03/04/2021,106326
04/04/2021,107839
05/04/2021,109476
06/04/2021,111236
07/04/2021,113119
08/04/2021,115125
09/04/2021,117399
10/04/2021,119940
11/04/2021,122560
12/04/2021,125134
13/04/2021,127663
14/04/2021,130147
15/04/2021,132586
16/04/2021,134835
17/04/2021,136895
18/04/2021,139200
19/04/2021,141750
20/04/2021,144545
21/04/2021,147718
22/04/2021,151192
23/04/2021,155124
24/04/2021,159513
25/04/2021,164117
26/04/2021,168936
27/04/2021,173970
28/04/2021,179086
29/04/2021,184361
30/04/2021,189639
01/05/2021,194919
02/05/2021,200199
03/05/2021,205710
04/05/2021,211451
05/05/2021,217423
06/05/2021,223625
07/05/2021,230058
08/05/2021,236860
09/05/2021,244032
10/05/2021,251343
11/05/2021,258793
12/05/2021,266532
13/05/2021,275014
14/05/2021,283585
15/05/2021,292106
16/05/2021,299885
17/05/2021,306921
18/05/2021,314063
19/05/2021,320754
20/05/2021,326835
21/05/2021,332452
22/05/2021,337604
23/05/2021,342716
24/05/2021,347787
25/05/2021,352889
26/05/2021,357647
27/05/2021,361766
28/05/2021,365952
29/05/2021,369781
30/05/2021,373522
31/05/2021,377175
01/06/2021,379656
02/06/2021,381748
03/06/2021,383434
04/06/2021,385358
05/06/2021,387417
06/06/2021,389611
07/06/2021,391940
08/06/2021,394365
09/06/2021,397300
10/06/2021,400808
11/06/2021,403765
12/06/2021,407249
13/06/2021,410872
14/06/2021,414613
15/06/2021,418674
16/06/2021,422641
17/06/2021,426431
18/06/2021,430366
19/06/2021,433691
20/06/2021,436794
21/06/2021,439559
22/06/2021,441985
23/06/2021,444072
24/06/2021,445858
25/06/2021,447387
26/06/2021,448819
27/06/2021,450153
28/06/2021,451528
29/06/2021,452943
30/06/2021,454398
01/07/2021,455893
02/07/2021,457351
03/07/2021,458816
04/07/2021,460405
05/07/2021,461884
06/07/2021,463254
07/07/2021,464535
08/07/2021,465854
09/07/2021,467396
10/07/2021,469316
11/07/2021,470947
12/07/2021,472865
13/07/2021,475070
14/07/2021,477637
15/07/2021,480408
16/07/2021,483407
17/07/2021,486174
18/07/2021,489258
19/07/2021,492266
20/07/2021,495198
21/07/2021,498126
22/07/2021,501067
23/07/2021,503769
24/07/2021,506398
25/07/2021,508953
26/07/2021,511199
27/07/2021,513694
28/07/2021,516270
29/07/2021,518719
30/07/2021,521026
31/07/2021,523187
01/08/2021,525202
02/08/2021,527357
03/08/2021,529096
04/08/2021,530725
05/08/2021,532549
06/08/2021,534477
07/08/2021,536488
08/08/2021,538581
09/08/2021,540723
10/08/2021,542913
11/08/2021,544824
12/08/2021,546333
13/08/2021,547700
14/08/2021,549219
15/08/2021,550568
16/08/2021,551781
17/08/2021,552858
18/08/2021,553891
19/08/2021,555173
20/08/2021,556473
21/08/2021,557664
22/08/2021,558802
23/08/2021,560033
24/08/2021,561357
25/08/2021,562703
26/08/2021,563816
27/08/2021,564810
28/08/2021,565679
29/08/2021,566687
30/08/2021,567690
31/08/2021,568687
01/09/2021,569671
02/09/2021,570641
03/09/2021,571589
04/09/2021,572660
05/09/2021,573731
06/09/2021,574802
07/09/2021,575873
08/09/2021,576980
09/09/2021,578122
10/09/2021,579222
11/09/2021,580188
12/09/2021,581142
13/09/2021,582048
14/09/2021,582906
15/09/2021,583694
16/09/2021,584376
17/09/2021,585056
18/09/2021,585696
19/09/2021,586295
20/09/2021,586890
21/09/2021,587481
22/09/2021,588063
23/09/2021,588611
24/09/2021,589125
25/09/2021,589617
26/09/2021,590086
27/09/2021,590533
28/09/2021,590958
29/09/2021,591327
30/09/2021,591701
01/10/2021,592087
02/10/2021,592464
03/10/2021,592832
04/10/2021,593167
05/10/2021,593469
06/10/2021,593771
07/10/2021,594078
08/10/2021,594366
09/10/2021,594659
10/10/2021,594957
11/10/2021,595285
12/10/2021,595627
13/10/2021,595977
14/10/2021,596321
15/10/2021,596659
16/10/2021,596982
17/10/2021,597290
18/10/2021,597583
19/10/2021,597876
20/10/2021,598176
21/10/2021,598478
22/10/2021,598803
23/10/2021,599135
24/10/2021,599474
25/10/2021,599821
26/10/2021,600175
27/10/2021,600523
28/10/2021,600878
29/10/2021,601233
30/10/2021,601588
31/10/2021,601944
01/11/2021,602258
02/11/2021,602531
03/11/2021,602776
04/11/2021,603051
05/11/2021,603328
06/11/2021,603603
07/11/2021,603876
08/11/2021,604189
09/11/2021,604541
10/11/2021,604938
11/11/2021,605320
12/11/2021,605703
13/11/2021,606115
14/11/2021,606556
15/11/2021,606997
16/11/2021,607438
17/11/2021,607874
18/11/2021,608334
19/11/2021,608818
20/11/2021,609356
21/11/2021,609947
22/11/2021,610621
23/11/2021,611374
24/11/2021,612207
25/11/2021,613094
26/11/2021,614035
27/11/2021,615024
28/11/2021,616061
29/11/2021,617085
30/11/2021,618100
01/12/2021,619106
02/12/2021,620099
03/12/2021,621123
04/12/2021,622130
05/12/2021,623120
06/12/2021,624080
07/12/2021,625009
08/12/2021,625907
09/12/2021,626805
10/12/2021,627656
11/12/2021,628460
12/12/2021,629217
13/12/2021,629959
14/12/2021,630687
15/12/2021,631401
16/12/2021,632109
17/12/2021,632806
18/12/2021,633492
19/12/2021,634166
20/12/2021,634871
21/12/2021,635606
22/12/2021,636367
23/12/2021,637087
24/12/2021,637773
25/12/2021,638426
26/12/2021,639046
27/12/2021,639633
28/12/2021,640187
29/12/2021,640713
30/12/2021,641239
31/12/2021,641765
01/01/2022,642291
02/01/2022,642817
03/01/2022,643343
04/01/2022,643869
05/01/2022,644395
06/01/2022,644921
07/01/2022,645447
08/01/2022,645973
09/01/2022,646499
10/01/2022,647002
11/01/2022,647482
12/01/2022,647974
13/01/2022,648478
14/01/2022,649007
15/01/2022,649557
16/01/2022,650128
17/01/2022,650708
18/01/2022,651297
19/01/2022,651860
20/01/2022,652398
21/01/2022,652897
22/01/2022,653374
23/01/2022,653829
24/01/2022,654248
25/01/2022,654630
26/01/2022,654997
27/01/2022,655349
28/01/2022,655685
29/01/2022,655985
30/01/2022,656249
31/01/2022,656526
01/02/2022,656817
02/02/2022,657073
03/02/2022,657294
04/02/2022,657480
05/02/2022,657640
06/02/2022,657773
07/02/2022,657880
08/02/2022,657960
09/02/2022,658040
10/02/2022,658120
11/02/2022,658200
12/02/2022,658280
13/02/2022,658360
14/02/2022,658440
15/02/2022,658520
16/02/2022,658600
17/02/2022,658680
18/02/2022,658760
19/02/2022,658840
20/02/2022,658920
21/02/2022,659000
22/02/2022,659080
23/02/2022,659160
24/02/2022,659240
25/02/2022,659320
26/02/2022,659400
27/02/2022,659480
28/02/2022,659560
01/03/2022,659640
02/03/2022,659720
03/03/2022,659800
04/03/2022,659880
05/03/2022,659960
06/03/2022,660040
07/03/2022,660120
08/03/2022,660200
09/03/2022,660280
10/03/2022,660360
11/03/2022,660440
12/03/2022,660520
13/03/2022,660600
14/03/2022,660680
15/03/2022,660760
16/03/2022,660840
17/03/2022,660920
18/03/2022,661000
19/03/2022,661080
20/03/2022,661160
21/03/2022,661240
22/03/2022,661320
23/03/2022,661400
24/03/2022,661480
25/03/2022,661560
26/03/2022,661640
27/03/2022,661720
28/03/2022,661800
29/03/2022,661880
30/03/2022,661960
31/03/2022,662040
01/04/2022,662120
02/04/2022,662200
03/04/2022,662280
04/04/2022,662360
05/04/2022,662440
06/04/2022,662520
07/04/2022,662600
08/04/2022,662680
09/04/2022,662760
10/04/2022,662840
11/04/2022,662920
12/04/2022,663000
13/04/2022,663080
14/04/2022,663160
15/04/2022,663240
16/04/2022,663320
17/04/2022,663400
18/04/2022,663480
19/04/2022,663560
20/04/2022,663640
21/04/2022,663720
22/04/2022,663800
23/04/2022,663880
24/04/2022,663960
25/04/2022,664040
26/04/2022,664120
27/04/2022,664200
28/04/2022,664280
29/04/2022,664360
30/04/2022,664440
01/05/2022,664520
02/05/2022,664595
03/05/2022,664665
04/05/2022,664729
05/05/2022,664788
06/05/2022,664842
07/05/2022,664891
08/05/2022,664934
